subject,room_condition,target_distance,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n
34,Unknown environment,1,0.5477225575051661,0.24494897427831777,0.3,5,0.6,0.5477225575051661,0.24494897427831777,0.3,5,-0.4,0.5477225575051661,0.24494897427831777,0.3,5,0.4,0.5477225575051661,0.24494897427831777,0.3,5
35,Unknown environment,1,0.27386127875258304,0.12247448713915889,0.075,5,0.8,0.27386127875258304,0.12247448713915889,0.075,5,-0.2,0.27386127875258304,0.12247448713915889,0.075,5,0.2,0.27386127875258304,0.12247448713915889,0.075,5
36,Unknown environment,1,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5
101,Controlled environment,1,0.5477225575051661,0.24494897427831777,0.3,5,1.4,0.5477225575051661,0.24494897427831777,0.3,5,0.4,0.5477225575051661,0.24494897427831777,0.3,5,0.4,0.5477225575051661,0.24494897427831777,0.3,5
103,Controlled environment,1,0.27386127875258304,0.12247448713915889,0.075,5,1.45,0.27386127875258304,0.12247448713915889,0.075,5,0.45,0.27386127875258304,0.12247448713915889,0.075,5,0.45,0.27386127875258304,0.12247448713915889,0.075,5
104,Controlled environment,1,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5
105,Controlled environment,1,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5,0.2,0.44721359549995793,0.19999999999999998,0.2,5
106,Controlled environment,1,0,0,0,5,0.5,0,0,0,5,-0.5,0,0,0,5,0.5,0,0,0,5
107,Controlled environment,1,0.8944271909999159,0.39999999999999997,0.8,5,1.6,0.8944271909999159,0.39999999999999997,0.8,5,0.6,0.8944271909999159,0.39999999999999997,0.8,5,0.6,0.8944271909999159,0.39999999999999997,0.8,5
108,Controlled environment,1,1,0.44721359549995793,1,5,1.5,1,0.44721359549995793,1,5,0.5,0.8366600265340756,0.3741657386773941,0.7,5,0.7,0.8366600265340756,0.3741657386773941,0.7,5
109,Controlled environment,1,0.8944271909999159,0.39999999999999997,0.8,5,0.4,0.8944271909999159,0.39999999999999997,0.8,5,-0.6,0,0,0,5,1,0,0,0,5
110,Controlled environment,1,0.27386127875258304,0.12247448713915889,0.075,5,0.7,0.27386127875258304,0.12247448713915889,0.075,5,-0.3,0.27386127875258304,0.12247448713915889,0.075,5,0.3,0.27386127875258304,0.12247448713915889,0.075,5
111,Controlled environment,1,1,0.44721359549995793,1,5,2,1,0.44721359549995793,1,5,1,1,0.44721359549995793,1,5,1,1,0.44721359549995793,1,5
112,Controlled environment,1,0.22360679774997896,0.09999999999999999,0.05,5,0.9,0.22360679774997896,0.09999999999999999,0.05,5,-0.1,0.22360679774997896,0.09999999999999999,0.05,5,0.1,0.22360679774997896,0.09999999999999999,0.05,5
113,Controlled environment,1,0.570087712549569,0.25495097567963926,0.325,5,1.8,0.570087712549569,0.25495097567963926,0.325,5,0.8,0.570087712549569,0.25495097567963926,0.325,5,0.8,0.570087712549569,0.25495097567963926,0.325,5
115,Controlled environment,1,0.7071067811865476,0.31622776601683794,0.5,5,2,0.7071067811865476,0.31622776601683794,0.5,5,1,0.7071067811865476,0.31622776601683794,0.5,5,1,0.7071067811865476,0.31622776601683794,0.5,5
116,Controlled environment,1,0.5477225575051661,0.24494897427831777,0.3,5,1.4,0.5477225575051661,0.24494897427831777,0.3,5,0.4,0.5477225575051661,0.24494897427831777,0.3,5,0.4,0.5477225575051661,0.24494897427831777,0.3,5
117,Controlled environment,1,0.8944271909999159,0.39999999999999997,0.8,5,1.6,0.8944271909999159,0.39999999999999997,0.8,5,0.6,0.8944271909999159,0.39999999999999997,0.8,5,0.6,0.8944271909999159,0.39999999999999997,0.8,5
118,Controlled environment,1,0.44721359549995793,0.19999999999999998,0.2,5,2.2,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5
119,Controlled environment,1,2.888425176458618,1.291743008496659,8.343,5,1.84,2.888425176458618,1.291743008496659,8.343,5,0.84,2.486563894212252,1.1120251795710383,6.183,5,1.56,2.486563894212252,1.1120251795710383,6.183,5
120,Controlled environment,1,0.08944271909999159,0.04,0.008,5,0.46,0.08944271909999157,0.039999999999999994,0.007999999999999997,5,-0.54,0.08944271909999157,0.039999999999999994,0.007999999999999997,5,0.54,0.08944271909999157,0.039999999999999994,0.007999999999999997,5
122,Controlled environment,1,0,0,0,5,2,0,0,0,5,1,0,0,0,5,1,0,0,0,5
123,Controlled environment,1,0,0,0,5,1,0,0,0,5,0,0,0,0,5,0,0,0,0,5
124,Controlled environment,1,0.22360679774997896,0.09999999999999999,0.05,5,0.9,0.22360679774997896,0.09999999999999999,0.05,5,-0.1,0.22360679774997896,0.09999999999999999,0.05,5,0.1,0.22360679774997896,0.09999999999999999,0.05,5
125,Controlled environment,1,1.51657508881031,0.6782329983125267,2.3,5,2.4,1.51657508881031,0.6782329983125267,2.3,5,1.4,1.51657508881031,0.6782329983125267,2.3,5,1.4,1.51657508881031,0.6782329983125267,2.3,5
126,Controlled environment,1,0,0,0,5,1,0,0,0,5,0,0,0,0,5,0,0,0,0,5
