"","Trial","Dist_fis","Respuesta","Sujeto","Bloque"
"355",13,3,3.5,"S004","VIRTUAL"
"356",14,1,1.5,"S004","VIRTUAL"
"357",15,5,4,"S004","VIRTUAL"
"358",16,4,4.5,"S004","VIRTUAL"
"359",17,6,4,"S004","VIRTUAL"
"360",18,2,3.5,"S004","VIRTUAL"
"361",19,2,3.5,"S004","VIRTUAL"
"362",20,4,4,"S004","VIRTUAL"
"363",21,3,3.75,"S004","VIRTUAL"
"364",22,5,4,"S004","VIRTUAL"
"365",23,6,4.2,"S004","VIRTUAL"
"366",24,1,1.5,"S004","VIRTUAL"
"367",1,4,2,"S005","INDVIRTUAL"
"368",2,5,2,"S005","INDVIRTUAL"
"369",3,1,0.5,"S005","INDVIRTUAL"
"370",4,3,2,"S005","INDVIRTUAL"
"371",5,2,2,"S005","INDVIRTUAL"
"372",6,6,2.5,"S005","INDVIRTUAL"
"373",7,2,1.5,"S005","INDVIRTUAL"
"374",8,6,2,"S005","INDVIRTUAL"
"375",9,1,1,"S005","INDVIRTUAL"
"376",10,4,2,"S005","INDVIRTUAL"
"377",11,3,2,"S005","INDVIRTUAL"
"378",12,5,3,"S005","INDVIRTUAL"
"379",13,4,3,"S005","INDVIRTUAL"
"380",14,2,1,"S005","INDVIRTUAL"
"381",15,6,2,"S005","INDVIRTUAL"
"382",16,3,2,"S005","INDVIRTUAL"
"383",17,1,0.5,"S005","INDVIRTUAL"
"384",18,5,2,"S005","INDVIRTUAL"
"385",19,2,2,"S005","INDVIRTUAL"
"386",20,6,3,"S005","INDVIRTUAL"
"387",21,5,3,"S005","INDVIRTUAL"
"388",22,4,2,"S005","INDVIRTUAL"
"389",23,3,3,"S005","INDVIRTUAL"
"390",24,1,1,"S005","INDVIRTUAL"
"391",1,2,1,"S005","REAL"
"392",2,1,1,"S005","REAL"
"393",3,6,3,"S005","REAL"
"394",4,3,2,"S005","REAL"
"395",5,4,2,"S005","REAL"
"396",6,5,2.5,"S005","REAL"
"397",7,3,2,"S005","REAL"
"398",8,5,2,"S005","REAL"
"399",9,4,2,"S005","REAL"
"400",10,2,1.5,"S005","REAL"
"401",11,1,0.4,"S005","REAL"
"402",12,6,2,"S005","REAL"
"403",13,3,2.5,"S005","REAL"
"404",14,5,2,"S005","REAL"
"405",15,1,0.4,"S005","REAL"
"406",16,2,1.5,"S005","REAL"
"407",17,4,2.3,"S005","REAL"
"408",18,6,3,"S005","REAL"
"409",19,4,2,"S005","REAL"
"410",20,5,2,"S005","REAL"
"411",21,3,1.5,"S005","REAL"
"412",22,1,0.5,"S005","REAL"
"413",23,2,1.5,"S005","REAL"
"414",24,6,3,"S005","REAL"
"415",1,3,1,"S005","SIMULADO"
"416",2,4,0.3,"S005","SIMULADO"
"417",3,5,1,"S005","SIMULADO"
"418",4,2,0.2,"S005","SIMULADO"
"419",5,6,1.5,"S005","SIMULADO"
"420",6,1,0.3,"S005","SIMULADO"
"421",7,6,2,"S005","SIMULADO"
"422",8,3,0.4,"S005","SIMULADO"
"423",9,1,0.2,"S005","SIMULADO"
"424",10,5,1.5,"S005","SIMULADO"
"425",11,2,0.4,"S005","SIMULADO"
"426",12,4,0.4,"S005","SIMULADO"
"427",13,1,0.2,"S005","SIMULADO"
"428",14,4,1,"S005","SIMULADO"
"429",15,3,1.5,"S005","SIMULADO"
"430",16,6,2,"S005","SIMULADO"
"431",17,2,0.3,"S005","SIMULADO"
"432",18,5,0.5,"S005","SIMULADO"
"433",19,3,1,"S005","SIMULADO"
"434",20,6,2,"S005","SIMULADO"
"435",21,1,0.2,"S005","SIMULADO"
"436",22,5,1,"S005","SIMULADO"
"437",23,4,0.5,"S005","SIMULADO"
"438",24,2,0.5,"S005","SIMULADO"
"439",1,4,2,"S005","VIRTUAL"
"440",2,3,2,"S005","VIRTUAL"
"441",3,2,1.5,"S005","VIRTUAL"
"442",4,1,0.5,"S005","VIRTUAL"
"443",5,5,2,"S005","VIRTUAL"
"444",6,6,2.5,"S005","VIRTUAL"
"445",7,6,2.5,"S005","VIRTUAL"
"446",8,3,2,"S005","VIRTUAL"
"447",9,4,2,"S005","VIRTUAL"
"448",10,5,1.5,"S005","VIRTUAL"
"449",11,2,1,"S005","VIRTUAL"
"450",12,1,0.5,"S005","VIRTUAL"
"451",13,4,1.5,"S005","VIRTUAL"
"452",14,6,2,"S005","VIRTUAL"
"453",15,2,1,"S005","VIRTUAL"
"454",16,1,0.5,"S005","VIRTUAL"
"455",17,5,2,"S005","VIRTUAL"
"456",18,3,2.5,"S005","VIRTUAL"
"457",19,2,1.5,"S005","VIRTUAL"
"458",20,1,1,"S005","VIRTUAL"
"459",21,4,2,"S005","VIRTUAL"
"460",22,6,2.5,"S005","VIRTUAL"
"461",23,3,2,"S005","VIRTUAL"
"462",24,5,2,"S005","VIRTUAL"
"463",1,4,4,"S006","INDVIRTUAL"
"464",2,2,2,"S006","INDVIRTUAL"
"465",3,1,1,"S006","INDVIRTUAL"
"466",4,3,2,"S006","INDVIRTUAL"
"467",5,6,5,"S006","INDVIRTUAL"
"468",6,5,4,"S006","INDVIRTUAL"
"469",7,5,6,"S006","INDVIRTUAL"
"470",8,1,1,"S006","INDVIRTUAL"
"471",9,4,4,"S006","INDVIRTUAL"
"472",10,6,5,"S006","INDVIRTUAL"
"473",11,3,2,"S006","INDVIRTUAL"
"474",12,2,2,"S006","INDVIRTUAL"
"475",13,5,4,"S006","INDVIRTUAL"
"476",14,4,3,"S006","INDVIRTUAL"
"477",15,3,2,"S006","INDVIRTUAL"
"478",16,1,0.5,"S006","INDVIRTUAL"
"479",17,2,2,"S006","INDVIRTUAL"
"480",18,6,5,"S006","INDVIRTUAL"
"481",19,2,3,"S006","INDVIRTUAL"
