"trial" "distancia" "respuesta" "nsub" "condicion" "SesgoAbs" "SesgoRel"
28 3 4 10 "INTERNET" 1 0.333333333333333
29 1 1 10 "INTERNET" 0 0
30 5 4 10 "INTERNET" -1 -0.2
1 3 5 11 "INTERNET" 2 0.666666666666667
2 6 5 11 "INTERNET" -1 -0.166666666666667
3 1 3 11 "INTERNET" 2 2
4 5 4 11 "INTERNET" -1 -0.2
5 2 4 11 "INTERNET" 2 1
6 4 6 11 "INTERNET" 2 0.5
7 1 3 11 "INTERNET" 2 2
8 2 5 11 "INTERNET" 3 1.5
9 3 6 11 "INTERNET" 3 1
10 5 6 11 "INTERNET" 1 0.2
11 6 7 11 "INTERNET" 1 0.166666666666667
12 4 7 11 "INTERNET" 3 0.75
13 5 8 11 "INTERNET" 3 0.6
14 6 9 11 "INTERNET" 3 0.5
15 2 7 11 "INTERNET" 5 2.5
16 3 8 11 "INTERNET" 5 1.66666666666667
17 1 5 11 "INTERNET" 4 4
18 4 7 11 "INTERNET" 3 0.75
19 3 7 11 "INTERNET" 4 1.33333333333333
20 6 8 11 "INTERNET" 2 0.333333333333333
21 1 4 11 "INTERNET" 3 3
22 2 7 11 "INTERNET" 5 2.5
23 4 9 11 "INTERNET" 5 1.25
24 5 8 11 "INTERNET" 3 0.6
25 6 9 11 "INTERNET" 3 0.5
26 3 6 11 "INTERNET" 3 1
27 4 7 11 "INTERNET" 3 0.75
28 2 6 11 "INTERNET" 4 2
29 1 5 11 "INTERNET" 4 4
30 5 7 11 "INTERNET" 2 0.4
1 4 2 12 "INTERNET" -2 -0.5
2 2 2 12 "INTERNET" 0 0
3 1 1 12 "INTERNET" 0 0
4 6 4 12 "INTERNET" -2 -0.333333333333333
5 3 5 12 "INTERNET" 2 0.666666666666667
6 5 4 12 "INTERNET" -1 -0.2
7 5 5 12 "INTERNET" 0 0
8 6 5 12 "INTERNET" -1 -0.166666666666667
9 4 4 12 "INTERNET" 0 0
10 3 3 12 "INTERNET" 0 0
11 2 2 12 "INTERNET" 0 0
12 1 1 12 "INTERNET" 0 0
13 2 1 12 "INTERNET" -1 -0.5
14 5 3 12 "INTERNET" -2 -0.4
15 3 3 12 "INTERNET" 0 0
16 6 3 12 "INTERNET" -3 -0.5
17 4 3 12 "INTERNET" -1 -0.25
18 1 2 12 "INTERNET" 1 1
19 5 3 12 "INTERNET" -2 -0.4
20 6 5 12 "INTERNET" -1 -0.166666666666667
21 1 1 12 "INTERNET" 0 0
22 3 2 12 "INTERNET" -1 -0.333333333333333
23 2 2 12 "INTERNET" 0 0
24 4 3 12 "INTERNET" -1 -0.25
25 2 1 12 "INTERNET" -1 -0.5
26 4 2 12 "INTERNET" -2 -0.5
27 6 2 12 "INTERNET" -4 -0.666666666666667
28 5 2 12 "INTERNET" -3 -0.6
29 3 3 12 "INTERNET" 0 0
30 1 1 12 "INTERNET" 0 0
1 3 7 13 "INTERNET" 4 1.33333333333333
2 6 7 13 "INTERNET" 1 0.166666666666667
3 4 7 13 "INTERNET" 3 0.75
4 5 7 13 "INTERNET" 2 0.4
5 1 5 13 "INTERNET" 4 4
6 2 6 13 "INTERNET" 4 2
7 4 8 13 "INTERNET" 4 1
8 2 5 13 "INTERNET" 3 1.5
9 1 5 13 "INTERNET" 4 4
10 6 9 13 "INTERNET" 3 0.5
11 3 9 13 "INTERNET" 6 2
12 5 12 13 "INTERNET" 7 1.4
13 3 12 13 "INTERNET" 9 3
14 2 10 13 "INTERNET" 8 4
15 1 7 13 "INTERNET" 6 6
16 6 11 13 "INTERNET" 5 0.833333333333333
17 4 12 13 "INTERNET" 8 2
18 5 12 13 "INTERNET" 7 1.4
19 2 12 13 "INTERNET" 10 5
20 4 12 13 "INTERNET" 8 2
21 6 13 13 "INTERNET" 7 1.16666666666667
22 5 13 13 "INTERNET" 8 1.6
23 3 10 13 "INTERNET" 7 2.33333333333333
24 1 5 13 "INTERNET" 4 4
25 3 7 13 "INTERNET" 4 1.33333333333333
26 6 10 13 "INTERNET" 4 0.666666666666667
27 2 8 13 "INTERNET" 6 3
28 5 12 13 "INTERNET" 7 1.4
29 1 5 13 "INTERNET" 4 4
30 4 12 13 "INTERNET" 8 2
1 5 5 14 "INTERNET" 0 0
2 4 5 14 "INTERNET" 1 0.25
3 3 4 14 "INTERNET" 1 0.333333333333333
4 1 2 14 "INTERNET" 1 1
5 6 5 14 "INTERNET" -1 -0.166666666666667
6 2 4 14 "INTERNET" 2 1
7 1 1 14 "INTERNET" 0 0
8 6 5 14 "INTERNET" -1 -0.166666666666667
9 3 5 14 "INTERNET" 2 0.666666666666667
10 2 4 14 "INTERNET" 2 1
11 4 5 14 "INTERNET" 1 0.25
12 5 4 14 "INTERNET" -1 -0.2
13 3 4 14 "INTERNET" 1 0.333333333333333
