"trial" "distancia" "respuesta" "nsub" "condicion"
18 5 2 21 "INTERNET"
19 5 2 21 "INTERNET"
20 1 0.5 21 "INTERNET"
21 4 2 21 "INTERNET"
22 6 2.5 21 "INTERNET"
23 3 2 21 "INTERNET"
24 2 1 21 "INTERNET"
25 6 2 21 "INTERNET"
26 1 0.5 21 "INTERNET"
27 5 1.5 21 "INTERNET"
28 4 1.5 21 "INTERNET"
29 3 2 21 "INTERNET"
30 2 1.5 21 "INTERNET"
1 4 8 22 "INTERNET"
2 5 8 22 "INTERNET"
3 6 9 22 "INTERNET"
4 1 3 22 "INTERNET"
5 3 5 22 "INTERNET"
6 2 6 22 "INTERNET"
7 1 2 22 "INTERNET"
8 3 7 22 "INTERNET"
9 5 9 22 "INTERNET"
10 4 6 22 "INTERNET"
11 6 5 22 "INTERNET"
12 2 3 22 "INTERNET"
13 5 6 22 "INTERNET"
14 6 7 22 "INTERNET"
15 3 8 22 "INTERNET"
16 4 9 22 "INTERNET"
17 1 2 22 "INTERNET"
18 2 7 22 "INTERNET"
19 2 6 22 "INTERNET"
20 5 7 22 "INTERNET"
21 4 6 22 "INTERNET"
22 1 2 22 "INTERNET"
23 3 7 22 "INTERNET"
24 6 8 22 "INTERNET"
25 3 7 22 "INTERNET"
26 2 5 22 "INTERNET"
27 5 6 22 "INTERNET"
28 4 6 22 "INTERNET"
29 6 5 22 "INTERNET"
30 1 2 22 "INTERNET"
1 1 4 23 "INTERNET"
2 2 4 23 "INTERNET"
3 5 5 23 "INTERNET"
4 6 6 23 "INTERNET"
5 3 7 23 "INTERNET"
6 4 8 23 "INTERNET"
7 2 7 23 "INTERNET"
8 6 8 23 "INTERNET"
9 5 8 23 "INTERNET"
10 3 8 23 "INTERNET"
11 4 8 23 "INTERNET"
12 1 6 23 "INTERNET"
13 1 6 23 "INTERNET"
14 4 7 23 "INTERNET"
15 3 8 23 "INTERNET"
16 6 9 23 "INTERNET"
17 5 9 23 "INTERNET"
18 2 8 23 "INTERNET"
19 3 9 23 "INTERNET"
20 1 7 23 "INTERNET"
21 2 8 23 "INTERNET"
22 6 9 23 "INTERNET"
23 5 9 23 "INTERNET"
24 4 9 23 "INTERNET"
25 1 8 23 "INTERNET"
26 5 9 23 "INTERNET"
27 6 9 23 "INTERNET"
28 4 9 23 "INTERNET"
29 2 8 23 "INTERNET"
30 3 8 23 "INTERNET"
1 4 3.5 24 "INTERNET"
2 2 2.5 24 "INTERNET"
3 3 2.5 24 "INTERNET"
4 1 2 24 "INTERNET"
5 5 3 24 "INTERNET"
6 6 4 24 "INTERNET"
7 6 4.5 24 "INTERNET"
8 2 2 24 "INTERNET"
9 3 2.5 24 "INTERNET"
10 1 1 24 "INTERNET"
11 5 3.5 24 "INTERNET"
12 4 4 24 "INTERNET"
13 2 2 24 "INTERNET"
14 6 2 24 "INTERNET"
15 1 0.5 24 "INTERNET"
16 5 4 24 "INTERNET"
17 4 4.5 24 "INTERNET"
18 3 3.5 24 "INTERNET"
19 2 2 24 "INTERNET"
20 3 2.5 24 "INTERNET"
21 1 1 24 "INTERNET"
22 6 5 24 "INTERNET"
23 5 4.5 24 "INTERNET"
24 4 4 24 "INTERNET"
25 4 5 24 "INTERNET"
26 6 4 24 "INTERNET"
27 1 0.5 24 "INTERNET"
28 5 3 24 "INTERNET"
29 2 2 24 "INTERNET"
30 3 3 24 "INTERNET"
1 4 1.5 25 "INTERNET"
2 5 1 25 "INTERNET"
3 2 1 25 "INTERNET"
4 3 1 25 "INTERNET"
5 1 0.8 25 "INTERNET"
6 6 1.5 25 "INTERNET"
7 5 1 25 "INTERNET"
8 6 1 25 "INTERNET"
9 3 1 25 "INTERNET"
10 2 1.2 25 "INTERNET"
11 1 0.6 25 "INTERNET"
12 4 1 25 "INTERNET"
13 1 0.8 25 "INTERNET"
14 5 1 25 "INTERNET"
15 4 1 25 "INTERNET"
16 3 1 25 "INTERNET"
17 2 1 25 "INTERNET"
18 6 1.3 25 "INTERNET"
19 4 1.3 25 "INTERNET"
20 5 1.3 25 "INTERNET"
21 3 1.1 25 "INTERNET"
22 1 0.6 25 "INTERNET"
23 6 1.3 25 "INTERNET"
24 2 1 25 "INTERNET"
25 4 1 25 "INTERNET"
26 3 1 25 "INTERNET"
27 1 0.6 25 "INTERNET"
28 2 1 25 "INTERNET"
29 6 0.8 25 "INTERNET"
30 5 1 25 "INTERNET"
1 3 3 26 "INTERNET"
2 5 4 26 "INTERNET"
3 1 1 26 "INTERNET"
4 2 3 26 "INTERNET"
5 4 5 26 "INTERNET"
6 6 6 26 "INTERNET"
7 5 6 26 "INTERNET"
8 1 1 26 "INTERNET"
9 6 4 26 "INTERNET"
10 2 4 26 "INTERNET"
11 3 5 26 "INTERNET"
12 4 5 26 "INTERNET"
13 5 5 26 "INTERNET"
14 3 3 26 "INTERNET"
15 2 3 26 "INTERNET"
16 6 6 26 "INTERNET"
17 4 4 26 "INTERNET"
18 1 2 26 "INTERNET"
19 3 4 26 "INTERNET"
20 6 6 26 "INTERNET"
21 5 6 26 "INTERNET"
22 4 3 26 "INTERNET"
23 1 1 26 "INTERNET"
24 2 4 26 "INTERNET"
25 1 5 26 "INTERNET"
26 6 9 26 "INTERNET"
27 5 5 26 "INTERNET"
28 2 6 26 "INTERNET"
29 3 4 26 "INTERNET"
30 4 6 26 "INTERNET"
1 1 0.3 27 "INTERNET"
2 4 1 27 "INTERNET"
3 5 1.5 27 "INTERNET"
4 2 1 27 "INTERNET"
5 3 1 27 "INTERNET"
6 6 1.5 27 "INTERNET"
7 5 1.5 27 "INTERNET"
8 3 1.5 27 "INTERNET"
9 6 2 27 "INTERNET"
10 4 2 27 "INTERNET"
11 1 1.5 27 "INTERNET"
12 2 2 27 "INTERNET"
13 1 1.5 27 "INTERNET"
14 3 2 27 "INTERNET"
15 2 2 27 "INTERNET"
16 4 2.5 27 "INTERNET"
17 5 2.5 27 "INTERNET"
18 6 2.5 27 "INTERNET"
19 2 1.5 27 "INTERNET"
20 4 1.5 27 "INTERNET"
21 5 1.5 27 "INTERNET"
22 3 1.5 27 "INTERNET"
23 1 1 27 "INTERNET"
24 6 2 27 "INTERNET"
25 1 1 27 "INTERNET"
26 6 2.5 27 "INTERNET"
27 2 2 27 "INTERNET"
28 4 2.5 27 "INTERNET"
29 5 2.5 27 "INTERNET"
30 3 2 27 "INTERNET"
1 4 2 28 "INTERNET"
2 2 1 28 "INTERNET"
3 3 3 28 "INTERNET"
4 1 1 28 "INTERNET"
5 5 4 28 "INTERNET"
6 6 5 28 "INTERNET"
7 2 2 28 "INTERNET"
8 6 5 28 "INTERNET"
9 3 3 28 "INTERNET"
10 1 1 28 "INTERNET"
11 5 4 28 "INTERNET"
12 4 5 28 "INTERNET"
13 4 6 28 "INTERNET"
14 5 5 28 "INTERNET"
15 2 3 28 "INTERNET"
16 6 4 28 "INTERNET"
17 1 1 28 "INTERNET"
18 3 4 28 "INTERNET"
19 6 5 28 "INTERNET"
20 2 2 28 "INTERNET"
21 5 3 28 "INTERNET"
22 1 1 28 "INTERNET"
23 3 4 28 "INTERNET"
24 4 5 28 "INTERNET"
25 2 2 28 "INTERNET"
26 5 3 28 "INTERNET"
27 3 4 28 "INTERNET"
28 4 5 28 "INTERNET"
29 6 6 28 "INTERNET"
30 1 1 28 "INTERNET"
1 2 1000 29 "INTERNET"
2 5 12 29 "INTERNET"
3 6 13 29 "INTERNET"
4 3 9 29 "INTERNET"
5 1 6 29 "INTERNET"
6 4 12 29 "INTERNET"
7 4 15 29 "INTERNET"
8 3 12 29 "INTERNET"
9 6 18 29 "INTERNET"
10 1 4 29 "INTERNET"
11 5 11 29 "INTERNET"
12 2 9 29 "INTERNET"
13 3 14 29 "INTERNET"
14 4 13 29 "INTERNET"
15 6 17 29 "INTERNET"
16 2 6 29 "INTERNET"
17 5 10.5 29 "INTERNET"
18 1 3 29 "INTERNET"
