"trial" "distancia" "respuesta" "nsub" "condicion"
2 1 1 124 "SALA"
3 5 2 124 "SALA"
4 2 1.5 124 "SALA"
5 3 2 124 "SALA"
6 4 3 124 "SALA"
7 2 1.5 124 "SALA"
8 6 2 124 "SALA"
9 4 2 124 "SALA"
10 5 2 124 "SALA"
11 3 1 124 "SALA"
12 1 0.5 124 "SALA"
13 5 3 124 "SALA"
14 1 1 124 "SALA"
15 6 3 124 "SALA"
16 4 2 124 "SALA"
17 2 2 124 "SALA"
18 3 3 124 "SALA"
19 3 2 124 "SALA"
20 1 1 124 "SALA"
21 6 3 124 "SALA"
22 5 2 124 "SALA"
23 2 2 124 "SALA"
24 4 3 124 "SALA"
25 1 1 124 "SALA"
26 2 3 124 "SALA"
27 6 3 124 "SALA"
28 5 2 124 "SALA"
29 3 2 124 "SALA"
30 4 2 124 "SALA"
1 3 3 125 "SALA"
2 1 1 125 "SALA"
3 2 2 125 "SALA"
4 6 4 125 "SALA"
5 5 5 125 "SALA"
6 4 6 125 "SALA"
7 6 10 125 "SALA"
8 1 2 125 "SALA"
9 2 3 125 "SALA"
10 4 5 125 "SALA"
11 3 6 125 "SALA"
12 5 10 125 "SALA"
13 3 15 125 "SALA"
14 5 10 125 "SALA"
15 4 12 125 "SALA"
16 2 5 125 "SALA"
17 1 2 125 "SALA"
18 6 15 125 "SALA"
19 6 20 125 "SALA"
20 2 5 125 "SALA"
21 3 10 125 "SALA"
22 5 15 125 "SALA"
23 4 15 125 "SALA"
24 1 5 125 "SALA"
25 1 2 125 "SALA"
26 5 10 125 "SALA"
27 2 15 125 "SALA"
28 3 12 125 "SALA"
29 6 15 125 "SALA"
30 4 15 125 "SALA"
1 2 5 126 "SALA"
2 6 8 126 "SALA"
3 4 7 126 "SALA"
4 5 8 126 "SALA"
5 1 1 126 "SALA"
6 3 4 126 "SALA"
7 1 1 126 "SALA"
8 3 3 126 "SALA"
9 2 2.5 126 "SALA"
10 6 10 126 "SALA"
11 5 8 126 "SALA"
12 4 7 126 "SALA"
13 6 9 126 "SALA"
14 3 6 126 "SALA"
15 4 5 126 "SALA"
16 2 3 126 "SALA"
17 1 1 126 "SALA"
18 5 4 126 "SALA"
19 1 1 126 "SALA"
20 5 7 126 "SALA"
21 3 5 126 "SALA"
22 4 5 126 "SALA"
23 6 7 126 "SALA"
24 2 3 126 "SALA"
25 3 4 126 "SALA"
26 1 1 126 "SALA"
27 6 12 126 "SALA"
28 2 4 126 "SALA"
29 5 4 126 "SALA"
30 4 5 126 "SALA"
1 5 3 127 "SALA"
2 1 1 127 "SALA"
3 6 6 127 "SALA"
4 4 4 127 "SALA"
5 3 3 127 "SALA"
6 2 1.5 127 "SALA"
7 4 3 127 "SALA"
8 1 1 127 "SALA"
9 6 4 127 "SALA"
10 5 3 127 "SALA"
11 2 2 127 "SALA"
12 3 3 127 "SALA"
13 3 5 127 "SALA"
14 1 1 127 "SALA"
15 6 7 127 "SALA"
16 4 6 127 "SALA"
17 2 3 127 "SALA"
18 5 4.5 127 "SALA"
19 4 4.5 127 "SALA"
20 3 3 127 "SALA"
21 2 2 127 "SALA"
22 5 5 127 "SALA"
23 6 7 127 "SALA"
24 1 2 127 "SALA"
25 6 6 127 "SALA"
26 1 1 127 "SALA"
27 5 5 127 "SALA"
28 3 4 127 "SALA"
29 2 3 127 "SALA"
30 4 7 127 "SALA"
1 2 2 128 "SALA"
2 4 4 128 "SALA"
3 6 4 128 "SALA"
4 3 3 128 "SALA"
5 1 1 128 "SALA"
6 5 3 128 "SALA"
7 4 5 128 "SALA"
8 3 4 128 "SALA"
9 1 1 128 "SALA"
10 2 2 128 "SALA"
11 5 6 128 "SALA"
12 6 7 128 "SALA"
13 4 5 128 "SALA"
14 1 1 128 "SALA"
15 3 3 128 "SALA"
16 5 5 128 "SALA"
17 6 4 128 "SALA"
18 2 3 128 "SALA"
19 2 2 128 "SALA"
20 3 4 128 "SALA"
21 5 5 128 "SALA"
22 1 1 128 "SALA"
23 4 7 128 "SALA"
24 6 8 128 "SALA"
25 3 6 128 "SALA"
26 5 5 128 "SALA"
27 1 1 128 "SALA"
28 4 4 128 "SALA"
29 6 7 128 "SALA"
30 2 4 128 "SALA"
1 6 7 129 "SALA"
2 4 6 129 "SALA"
3 2 3 129 "SALA"
4 5 6 129 "SALA"
5 3 4 129 "SALA"
6 1 2 129 "SALA"
7 5 7 129 "SALA"
8 1 2 129 "SALA"
9 4 6 129 "SALA"
10 3 6 129 "SALA"
11 6 8 129 "SALA"
12 2 6 129 "SALA"
13 5 7 129 "SALA"
14 4 7 129 "SALA"
15 1 3 129 "SALA"
16 6 8 129 "SALA"
17 3 5 129 "SALA"
18 2 4 129 "SALA"
19 4 6 129 "SALA"
20 2 6 129 "SALA"
21 1 2 129 "SALA"
22 3 5 129 "SALA"
23 6 7 129 "SALA"
24 5 6 129 "SALA"
25 3 6 129 "SALA"
26 5 7 129 "SALA"
27 4 7 129 "SALA"
28 1 1 129 "SALA"
29 6 5 129 "SALA"
30 2 4 129 "SALA"
1 3 5 130 "SALA"
2 4 5 130 "SALA"
3 1 3 130 "SALA"
4 2 5 130 "SALA"
5 6 6 130 "SALA"
6 5 5 130 "SALA"
7 1 2 130 "SALA"
8 2 4 130 "SALA"
9 4 6 130 "SALA"
10 6 7 130 "SALA"
11 5 5 130 "SALA"
12 3 4 130 "SALA"
13 3 4 130 "SALA"
14 2 3 130 "SALA"
15 1 2 130 "SALA"
16 5 6 130 "SALA"
17 4 5 130 "SALA"
18 6 6 130 "SALA"
19 5 5 130 "SALA"
20 4 4 130 "SALA"
21 1 2 130 "SALA"
22 6 7 130 "SALA"
23 2 3 130 "SALA"
24 3 4 130 "SALA"
25 1 2 130 "SALA"
26 3 4 130 "SALA"
27 2 3 130 "SALA"
28 4 6 130 "SALA"
29 6 5 130 "SALA"
30 5 4 130 "SALA"
