subject,condition,target_distance,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n,log_bias_sd,log_bias_sem,log_bias_var,log_bias_n,log_bias_m,log_bias_unsigned_sd,log_bias_unsigned_sem,log_bias_unsigned_var,log_bias_unsigned_n,log_bias_unsigned_m
2,SIMULADO,1,0.05773502691896256,0.02886751345948128,0.003333333333333332,4,0.25,0.05773502691896263,0.028867513459481315,0.003333333333333339,4,-0.75,0.05773502691896263,0.028867513459481315,0.003333333333333339,4,0.75,0.05773502691896263,0.028867513459481315,0.003333333333333339,4,0.10166633581773762,0.05083316790886881,0.010336043838605,4,-0.6109243748081782,0.10166633581773762,0.05083316790886881,0.010336043838605,4,0.6109243748081782
3,SIMULADO,1,0.07500000000000001,0.037500000000000006,0.005625000000000002,4,0.3375,0.07500000000000001,0.037500000000000006,0.005625000000000001,4,-0.6625,0.07500000000000001,0.037500000000000006,0.005625000000000001,4,0.6625,0.07500000000000001,0.037500000000000006,0.005625000000000001,4,0.10034066148838536,0.05017033074419268,0.010068248347926741,4,-0.48020468848809383,0.10034066148838536,0.05017033074419268,0.010068248347926741,4,0.48020468848809383
4,SIMULADO,1,0.25,0.125,0.0625,4,0.875,0.25,0.125,0.0625,4,-0.125,0.25,0.125,0.0625,4,0.125,0.25,0.125,0.0625,4,0.1505149978319906,0.0752574989159953,0.022654764572364136,4,-0.0752574989159953,0.1505149978319906,0.0752574989159953,0.022654764572364136,4,0.0752574989159953
5,SIMULADO,1,0.04999999999999999,0.024999999999999994,0.0024999999999999988,4,0.225,0.050000000000000044,0.025000000000000022,0.0025000000000000044,4,-0.775,0.050000000000000044,0.025000000000000022,0.0025000000000000044,4,0.775,0.050000000000000044,0.025000000000000022,0.0025000000000000044,4,0.08804562952784056,0.04402281476392028,0.00775203287895375,4,-0.6549471895720984,0.08804562952784056,0.04402281476392028,0.00775203287895375,4,0.6549471895720984
6,SIMULADO,1,0.5,0.25,0.25,4,0.25,0.5,0.25,0.25,4,-0.75,0.5,0.25,0.25,4,0.75,0.5,0.25,0.25,4,NA,NA,NA,4,-Inf,NA,NA,NA,4,Inf
7,SIMULADO,1,0.24494897427831783,0.12247448713915891,0.060000000000000005,4,0.7,0.24494897427831783,0.12247448713915891,0.060000000000000005,4,-0.3,0.24494897427831783,0.12247448713915891,0.060000000000000005,4,0.3,0.24494897427831783,0.12247448713915891,0.060000000000000005,4,0.15109588617801745,0.07554794308900872,0.022829966819920403,4,-0.1747425010840047,0.15109588617801745,0.07554794308900872,0.022829966819920403,4,0.1747425010840047
8,SIMULADO,1,0.6291528696058958,0.3145764348029479,0.3958333333333333,4,2.125,0.6291528696058958,0.3145764348029479,0.3958333333333333,4,1.125,0.6291528696058958,0.3145764348029479,0.3958333333333333,4,1.125,0.6291528696058958,0.3145764348029479,0.3958333333333333,4,0.12377893504538744,0.06188946752269372,0.015321224760970243,4,0.3138181262758265,0.12377893504538744,0.06188946752269372,0.015321224760970243,4,0.3138181262758265
9,SIMULADO,1,0.125,0.0625,0.015625,4,0.3125,0.125,0.0625,0.015625,4,-0.6875,0.125,0.0625,0.015625,4,0.6875,0.125,0.0625,0.015625,4,0.1505149978319906,0.0752574989159953,0.022654764572364136,4,-0.5268024924119671,0.1505149978319906,0.0752574989159953,0.022654764572364136,4,0.5268024924119671
10,SIMULADO,1,0.25,0.125,0.0625,4,1.125,0.25,0.125,0.0625,4,0.125,0.25,0.125,0.0625,4,0.125,0.25,0.125,0.0625,4,0.08804562952784062,0.04402281476392031,0.0077520328789537594,4,0.04402281476392031,0.08804562952784062,0.04402281476392031,0.0077520328789537594,4,0.04402281476392031
11,SIMULADO,1,0.23804761428476165,0.11902380714238082,0.056666666666666664,4,0.15,0.23804761428476168,0.11902380714238084,0.05666666666666667,4,-0.85,0.23804761428476168,0.11902380714238084,0.05666666666666667,4,0.85,0.23804761428476168,0.11902380714238084,0.05666666666666667,4,NA,NA,NA,4,-Inf,NA,NA,NA,4,Inf
