subject,condition,target_distance,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n,log_bias_sd,log_bias_sem,log_bias_var,log_bias_n,log_bias_m,log_bias_unsigned_sd,log_bias_unsigned_sem,log_bias_unsigned_var,log_bias_unsigned_n,log_bias_unsigned_m
11,Controlled environment,1,1,0.44721359549995793,1,5,2,1,0.44721359549995793,1,5,1,1,0.44721359549995793,1,5,1,1,0.44721359549995793,1,5,0.24019087684918458,0.10741662564201145,0.05769165732158016,5,0.25105450102066124,0.24019087684918458,0.10741662564201145,0.05769165732158016,5,0.25105450102066124
12,Controlled environment,1,0.22360679774997896,0.09999999999999999,0.05,5,0.9,0.22360679774997896,0.09999999999999999,0.05,5,-0.1,0.22360679774997896,0.09999999999999999,0.05,5,0.1,0.22360679774997896,0.09999999999999999,0.05,5,0.13462470671422577,0.060205999132796235,0.018123811657891307,5,-0.06020599913279624,0.13462470671422577,0.060205999132796235,0.018123811657891307,5,0.06020599913279624
13,Controlled environment,1,0.570087712549569,0.25495097567963926,0.325,5,1.8,0.570087712549569,0.25495097567963926,0.325,5,0.8,0.570087712549569,0.25495097567963926,0.325,5,0.8,0.570087712549569,0.25495097567963926,0.325,5,0.1532680402686695,0.06854355136378402,0.023491092167798495,5,0.23521825181113626,0.1532680402686695,0.06854355136378402,0.023491092167798495,5,0.23521825181113626
14,Controlled environment,1,0.5477225575051661,0.24494897427831777,0.3,5,2.1,0.5477225575051661,0.24494897427831777,0.3,5,1.1,0.5477225575051661,0.24494897427831777,0.3,5,1.1,0.5477225575051661,0.24494897427831777,0.3,5,0.10734815241836632,0.048007553213295105,0.011523625827636805,5,0.31126050015345746,0.10734815241836632,0.048007553213295105,0.011523625827636805,5,0.31126050015345746
15,Controlled environment,1,0.7071067811865476,0.31622776601683794,0.5,5,2,0.7071067811865476,0.31622776601683794,0.5,5,1,0.7071067811865476,0.31622776601683794,0.5,5,1,0.7071067811865476,0.31622776601683794,0.5,5,0.17212295911950268,0.07697572741592507,0.029626313056053986,5,0.2760422483423212,0.17212295911950268,0.07697572741592507,0.029626313056053986,5,0.2760422483423212
16,Controlled environment,1,0.5477225575051661,0.24494897427831777,0.3,5,1.4,0.5477225575051661,0.24494897427831777,0.3,5,0.4,0.5477225575051661,0.24494897427831777,0.3,5,0.4,0.5477225575051661,0.24494897427831777,0.3,5,0.16488091911084485,0.07373698866489865,0.02718571748683696,5,0.12041199826559248,0.16488091911084485,0.07373698866489865,0.02718571748683696,5,0.12041199826559248
17,Controlled environment,1,0.8944271909999159,0.39999999999999997,0.8,5,1.6,0.8944271909999159,0.39999999999999997,0.8,5,0.6,0.8944271909999159,0.39999999999999997,0.8,5,0.6,0.8944271909999159,0.39999999999999997,0.8,5,0.22201344345556867,0.09928743029709147,0.04928996907499898,5,0.15563025007672873,0.22201344345556867,0.09928743029709147,0.04928996907499898,5,0.15563025007672873
18,Controlled environment,1,0.44721359549995793,0.19999999999999998,0.2,5,2.2,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.44721359549995793,0.19999999999999998,0.2,5,0.07875040509840574,0.03521825181113625,0.006201626303163008,5,0.33624824747511745,0.07875040509840574,0.03521825181113625,0.006201626303163008,5,0.33624824747511745
19,Controlled environment,1,2.888425176458618,1.291743008496659,8.343,5,1.84,2.888425176458618,1.291743008496659,8.343,5,0.84,2.486563894212252,1.1120251795710383,6.183,5,1.56,2.486563894212252,1.1120251795710383,6.183,5,0.5124682334031467,0.22918276123973289,0.2626236902473421,5,-0.050362394598759914,0.27789276679020963,0.12427742339968095,0.07722438983431784,5,0.38840161060446265
20,Controlled environment,1,0.08944271909999159,0.04,0.008,5,0.46,0.08944271909999157,0.039999999999999994,0.007999999999999997,5,-0.54,0.08944271909999157,0.039999999999999994,0.007999999999999997,5,0.54,0.08944271909999157,0.039999999999999994,0.007999999999999997,5,0.09921377697310067,0.044369749923271286,0.009843373541268161,5,-0.3453997455872525,0.09921377697310067,0.044369749923271286,0.009843373541268161,5,0.3453997455872525
21,Controlled environment,1,0,0,0,5,0,0,0,0,5,-1,0,0,0,5,1,0,0,0,5,NA,NA,NA,5,-Inf,NA,NA,NA,5,Inf
22,Controlled environment,1,0,0,0,5,2,0,0,0,5,1,0,0,0,5,1,0,0,0,5,0,0,0,5,0.3010299956639812,0,0,0,5,0.3010299956639812
23,Controlled environment,1,0,0,0,5,1,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,5,0
24,Controlled environment,1,0.22360679774997896,0.09999999999999999,0.05,5,0.9,0.22360679774997896,0.09999999999999999,0.05,5,-0.1,0.22360679774997896,0.09999999999999999,0.05,5,0.1,0.22360679774997896,0.09999999999999999,0.05,5,0.13462470671422577,0.060205999132796235,0.018123811657891307,5,-0.06020599913279624,0.13462470671422577,0.060205999132796235,0.018123811657891307,5,0.06020599913279624
25,Controlled environment,1,1.51657508881031,0.6782329983125267,2.3,5,2.4,1.51657508881031,0.6782329983125267,2.3,5,1.4,1.51657508881031,0.6782329983125267,2.3,5,1.4,1.51657508881031,0.6782329983125267,2.3,5,0.2485442609813761,0.11115237259436112,0.0617742496667784,5,0.32041199826559247,0.2485442609813761,0.11115237259436112,0.0617742496667784,5,0.32041199826559247
26,Controlled environment,1,0,0,0,5,1,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,5,0
